part_number,price,vendor,kind
MS132-1.6,177.65,ABB,mmp
MS132-2.5,101.48,ABB,mmp
MS132-4.0,101.48,ABB,mmp
MS132-6.3,101.48,ABB,mmp
MS132-10,110.71,ABB,mmp
MS132-12,119.92,ABB,mmp
MS132-16,119.92,ABB,mmp
MS165-25,319.72,ABB,mmp
MS165-32,255.16,ABB,mmp
MS165-42,292.05,ABB,mmp
MS165-54,310.49,ABB,mmp
MS165-65,319.72,ABB,mmp
XT1HU3070AFF000XXX,375.35,ABB,mmp
XT1HU3080AFF000XXX,375.35,ABB,mmp
XT1HU3090AFF000XXX,375.35,ABB,mmp
XT1HU3100AFF000XXX,375.35,ABB,mmp
XT1HU3110AFF000XXX,475,ABB,mmp
XT1HU3125AFF000XXX,577.37,ABB,mmp
AF09-30-10-13,59.59,ABB,contactor
AF12-30-10-13,42.23,ABB,contactor
AF16-30-10-13,50.67,ABB,contactor
AF26-30-10-13,65.37,ABB,contactor
AF30-30-00-13,76.01,ABB,contactor
AF40-30-00-13,89.09,ABB,contactor
AF52-30-00-13,103.45,ABB,contactor
AF65-30-00-13,130.07,ABB,contactor
AF96-30-00-13,172.28,ABB,contactor
BEA65-4,80.97,ABB,accessory
KXT1CUMCP-6PC,22.67,ABB,accessory
CA4-10,6.33,ABB,accessory
CAL4-11,12.67,ABB,accessory
1SDA066431R1,170.99,ABB,accessory
MPW40-3-C016,39.44,WEG,mmp
MPW40-3-C025,39.44,WEG,mmp
MPW40-3-D004,39.44,WEG,mmp
MPW40-3-C063,46.58,WEG,mmp
MPW40-3-U001,46.58,WEG,mmp
MPW40-3-D016,46.58,WEG,mmp
MPW40-3-D025,46.58,WEG,mmp
MPW40-3-U004,46.58,WEG,mmp
MPW40-3-D063,46.58,WEG,mmp
MPW40-3-U010,46.58,WEG,mmp
MPW40-3-U016,51.00,WEG,mmp
MPW40-3-U020,56.10,WEG,mmp
MPW40-3-U025,66.30,WEG,mmp
MPW40-3-U032,71.40,WEG,mmp
MPW100-3-U075,226.10,WEG,mmp
MPW100-3-U090,244.80,WEG,mmp
MPW100-3-U100,244.80,WEG,mmp
CWB9-11-30D15,25.50,WEG,contactor
CWB18-11-30D15,35.02,WEG,contactor
CWB25-11-30D15,40.12,WEG,contactor
CWB32-11-30D15,47.60,WEG,contactor
CWB50-11-30D15,76.50,WEG,contactor
CWB65-11-30D15,86.70,WEG,contactor
CWB80-11-30D15,91.80,WEG,contactor
CWM95-11-30V18,127.50,WEG,contactor
CWM105-11-30V18,140.42,WEG,contactor
CLT32 MPW40,34.00,WEG,accessory
ECCMP-40B38,8.50,WEG,accessory
LST25,14.28,WEG,accessory
IB MPW100,10.20,WEG,accessory
TSB,12.92,WEG,accessory
TSB SC-11 MPW100,12.92,WEG,accessory
LST65,28.90,WEG,accessory
BBS54-2,10.88,WEG,accessory
BBSP54-3,11.90,WEG,accessory
BBSP54-4,15.30,WEG,accessory
BFB-31,10.88,WEG,accessory
BCXML 11,10.88,WEG,accessory
